Key,Comment,en,en-GB,de,es,
SETTINGS_ALERT_MESSAGE_LOGOUT_CONFIRMATION,"Settings: Alert message, confirm logout.",Are you sure you want to logout?,Are you sure you want to logout?,Are you sure you want to logout?,Are you sure you want to logout?,
GENERIC_ALERT_TITLE_ARE_YOU_SURE,Generic: 'Are you sure?' alert dialog title,Are you sure?,Are you sure?,Are you sure?,Are you sure?,
FILEINFO_LABEL_ARTIST,"FileInfo, 'Artist' label",Artist,Artist,Artist,Artist,
SETTINGS_TITLE_BACKUP,"Settings: Title, Backup.",Backup,Backup,Backup,Backup,
ALBUM_LABEL_BACKUPS,"Album: Label, Backups.",Backups,Backups,Backups,Backups,
SETTINGS_LABEL_BUILD_n,"Settings: Label, Build (version).",v%@,v%@,v%@,v%@,
SETTINGS_LABEL_BUILD_NUMBER_UNAVAILABLE,"Settings: Label, Build number unavailable.",Build number unavailable,Build number unavailable,Build number unavailable,Build number unavailable,
DOWNLOAD_BUTTON_CANCEL_DOWNLOAD,"Download button, cancel download.",Cancel Download,Cancel Download,Cancel Download,Cancel Download,
UPLOAD_BUTTON_CANCEL,Upload: button 'Cancel Upload',Cancel Upload,Cancel Upload,Cancel Upload,Cancel Upload,
GENERIC_BUTTON_CANCEL,"Button text, 'Cancel'",Cancel,Cancel,Cancel,Cancel,
AUTH_MESSAGE_GENERIC_FAILURE_MESSAGE,"Cannot login, please try again.","Cannot login, please try again.","Cannot login, please try again.","Cannot login, please try again.","Cannot login, please try again.",
DOWNLOAD_ALERT_MESSAGE_CANNOT_SAVE_VIDEO,"Download: Alert message, cannot save video to asset library.",Cannot save video to album.,Cannot save video to album.,Cannot save video to album.,Cannot save video to album.,
SHARE_TITLE_CHOOSE_EMAIL,"Share: Title, Choose e-Mail addresses.",Choose Email,Choose Email,Choose Email,Choose Email,
HOME_LABEL_CLOUD_PICTURES,"Home: Label, 'Cloud Pictures'.",Photos,Photos,Photos,Photos,
SETTINGS_LABEL_CLOUD_STORAGE,"Settings: Label, Cloud Storage.",Cloud Storage,Cloud Storage,Cloud Storage,Cloud Storage,
HOME_LABEL_CLOUD_VIDEOS,"Home: Label, 'Cloud Videos'.",Videos,Videos,Videos,Videos,
HOME_LABEL_CLOUD_MUSIC,"Home: Label, 'Cloud Music'.",Music,Music,Music,Music,
GENERIC_ACTIVITY_LABEL_COMPLETE,"Generic: Label activity, progress complete",complete,complete,complete,complete,
